"","code","description"
"1120","RPATIMEC","Whether physical activity or walking to places was more than 60 mins yesterday (5-17)"
"1125","SABDYMS","Self-perceived body mass"
"1127","SALTATI","Whether salt added to meal at table is iodised"
"1129","SATFATF1","Saturated Fat (food) Day 1 g"
"1130","SATFATF2","Saturated Fat (food) Day 2 g"
"1131","SATFATS1","Saturated Fat (supplement) Day 1 g"
"1132","SATFATS2","Saturated Fat (supplement) Day 2 g"
"1133","SATFATT1","Saturated Fat (total) Day 1 g"
"1134","SATFATT2","Saturated Fat (total) Day 2 g"
"1135","SATPER1","Percentage of energy from saturated fat + trans fatty acids (Day1)"
"1136","SATPER2","Percentage of energy from saturated fat + trans fatty acids (Day2)"
"1137","SATWEIG","Satisfaction with current weight"
"1140","SDSAGE3","Number of days did screen-based activity no more than 120 mins in 3 days prior to interview (5-17)"
"1143","SEASON2","Season of interview"
"1147","SELF1","Selenium (food) Day 1 µg"
"1148","SELF2","Selenium (food) Day 2 µg"
"1149","SELS1","Selenium (supplement) Day 1 µg"
"1150","SELS2","Selenium (supplement) Day 2 µg"
"1151","SELT1","Selenium (total) Day 1 µg"
"1152","SELT2","Selenium (total) Day 2 µg"
"1168","SEX","Sex of person"
"1169","SF12Q2","Self-assessed health"
"1196","SLPTIME","Sleep duration in minutes on day prior to interview"
"1198","SMKDAILY","Daily smoker status"
"1202","SMKPAROX","Presence of parent during smoking questions"
"1203","SMKSTAT","Smoker status"
"1212","SMOKQ2AE","Number of cigarettes usually smokes daily"
"1213","SMS","Social marital status"
"1214","SODIUMF1","Sodium (food) Day 1 mg"
"1215","SODIUMF2","Sodium (food) Day 2 mg"
"1216","SODIUMS1","Sodium (supplement) Day 1 mg"
"1217","SODIUMS2","Sodium (supplement) Day 2 mg"
"1218","SODIUMT1","Sodium (total) Day 1 mg"
"1219","SODIUMT2","Sodium (total) Day 2 mg"
"1229","STARCH1N","Starchy vegetables (day 1, non-discretionary) (serves)"
"1230","STARCHF1","Starch (food) Day 1 g"
"1231","STARCHF2","Starch (food) Day 2 g"
"1232","STARCHT1","Starch (total) Day 1 g"
"1233","STARCHT2","Starch (total) Day 2 g"
"1235","STARPER1","Percentage of energy from starch (Day1)"
"1236","STARPER2","Percentage of energy from starch (Day2)"
"1239","STDYFTPT","Whether currently studying full-time or part-time"
"1240","STHHTYC","Household composition"
"1243","STRMINC","Total minutes did strength or toning activities in last week"
"1246","STRTONOC","Number of times did strength or toning activities in last week"
"1252","SUGARF1","Sugars (food) Day 1 g"
"1253","SUGARF2","Sugars (food) Day 2 g"
"1255","SUGART1","Sugars (total) Day 1 g"
"1256","SUGART2","Sugars (total) Day 2 g"
"1257","SUGPER1","Percentage of energy from total sugars (Day1)"
"1258","SUGPER2","Percentage of energy from total sugars (Day2)"
"1260","SUPERTV","Frequency child is supervised while watching TV"
"1261","SUPGAME","Frequency child is supervised while on the Internet or playing electronic games"
"1265","SYSTOL","Systolic blood pressure (mmHg)"
"1266","TAPWTR","Source of tap water"
"1274","TOBUSE","Tobacco use"
"1281","TOTFOLF1","Total folates (food) Day 1 µg"
"1282","TOTFOLF2","Total folates (food) Day 2 µg"
"1283","TOTFOLT1","Total folates (total) Day 1 µg"
"1284","TOTFOLT2","Total folates (total) Day 2 µg"
"1307","TOTWKMIN","Total minutes at work in last week"
"1315","TRANPER1","Percentage of energy from trans fatty acids (Day1)"
"1316","TRANPER2","Percentage of energy from trans fatty acids (Day2)"
"1319","TRANSF1","Trans Fatty Acids (food) Day 1 mg"
"1320","TRANSF2","Trans Fatty Acids (food) Day 2 mg"
"1322","TRANSS1","Trans Fatty Acids (supplement) Day 1 mg"
"1323","TRANSS2","Trans Fatty Acids (supplement) Day 2 mg"
"1324","TRANST1","Trans Fatty Acids (total) Day 1 mg"
"1325","TRANST2","Trans Fatty Acids (total) Day 2 mg"
"1328","TRIGNTR","Fasting triglycerides status (mmol/L)"
"1330","TRSATMIN","Total minutes spent sitting for travel to or from places in last week"
"1332","TVOFF","Frequency TV is off during meals"
"1339","TYPNIGHT","Whether typical nights sleep on day prior to interview"
"1340","TYPNIGHT","Whether typical night's sleep on day prior to interview"
"1343","UNEMDUEC","Duration of unemployment (weeks)"
"1347","UNSAT1N","Unsaturated spreads and oils (day 1, non-discretionary) (serves)"
"1348","UNSAT2N","Unsaturated spreads and oils (day 2, non-discretionary) (serves)"
"1356","USHRWKE","Hours usually worked each week (all jobs - continuous)"
"1358","VDLCMRGT","Vitamin D (LCMS) ranged (nmol/L)"
"1360","VEGLEG1N","Vegetables and legumes/beans (day 1, non-discretionary) (serves)"
"1361","VEGLEG2N","Vegetables and legumes/beans (day 2, non-discretionary) (serves)"
"1367","VGORSV1N","Orange vegetables (day 1, non-discretionary) (serves)"
"1369","VITCF1","Vitamin C (food) Day 1 mg"
"1370","VITCF2","Vitamin C (food) Day 2 mg"
"1372","VITCS1","Vitamin C (supplement) Day 1 mg"
"1373","VITCS2","Vitamin C (supplement) Day 2 mg"
"1374","VITCT1","Vitamin C (total) Day 1 mg"
"1375","VITCT2","Vitamin C (total) Day 2 mg"
"1376","VITEF1","Vitamin E (food) Day 1 mg"
"1377","VITEF2","Vitamin E (food) Day 2 mg"
"1379","VITES1","Vitamin E (supplement) Day 1 mg"
"1380","VITES2","Vitamin E (supplement) Day 2 mg"
"1381","VITET1","Vitamin E (total) Day 1 mg"
"1382","VITET2","Vitamin E (total) Day 2 mg"
"1399","WATER1N","Water (day 1, non-discretionary) (serves)"
"1400","WATER2N","Water (day 2, non-discretionary) (serves)"
"1401","WATERG1N","Water (day 1, non-discretionary) (g)"
"1402","WATERG2N","Water (day 2, non-discretionary) (g)"
"1426","WHOLGR1N","Wholegrain or high fibre cereal/grains (day 1, non-discretionary) (serves)"
"1438","WHRCAT","Waist-to-hip ratio - measured - categories"
"1439","WHRSC","Waist-to-hip ratio (WHR) - score measured"
"1441","WINDGHH","Type of Aboriginal and Torres Strait Islander household"
"1443","WKSATMIN","Total minutes spent sitting at work in last week"
"1450","ZINCF1","Zinc (food) Day 1 mg"
"1451","ZINCF2","Zinc (food) Day 2 mg"
"1453","ZINCS1","Zinc (supplement) Day 1 mg"
"1454","ZINCS2","Zinc (supplement) Day 2 mg"
"1455","ZINCT1","Zinc (total) Day 1 mg"
"1456","ZINCT2","Zinc (total) Day 2 mg"
